Population density (people per sq. km of land area),Population in largest city,"Total reserves (includes gold, current US$)",GDP (current US$),"Inflation, consumer prices (annual %)","Manufacturing, value added (current US$)",CO2 emissions (metric tons per capita),
154.2758643,5775520,666357094.9,39920452403,1.752021563,5413509671,0.284291728,1961
157.4249022,5893245,512791844,42900864970,3.57615894,6010714316,0.306519469,1962
160.6792563,6013370,607862500.4,49271095508,2.941176471,6854964027,0.322532993,1963
164.029246,6136115,499145125.8,57470781033,13.35403727,7538097398,0.308900447,1964
167.4700473,6261017,600850886.2,60599264112,9.479452055,8034167073,0.33333065,1965
170.9957682,6388638,609694584.5,46669801600,10.81081081,5978470443,0.337853982,1966
174.6144945,6518862,663764119.8,51014155360,13.0532972,5961810813,0.331763432,1967
178.3521164,6651924,730352744.9,54016411987,2.996404315,6451467653,0.35328108,1968
182.2435996,6787325,927764119.8,59472993627,0.574712644,7430781360,0.351990681,1969
186.312757,6925675,1023173271,63517182000,5.095238095,8110026787,0.352279914,1970
190.5715417,7078956,1245820241,68532271313,3.081105573,9068590296,0.3633376,1971
195.0096132,7273302,1367599034,72716595884,6.461538462,9699522516,0.375731112,1972
199.6010645,7472427,1629326579,87014945186,16.92815855,11539685985,0.378031307,1973
204.3080055,7677289,2324650377,1.01E+11,28.60169492,14620524183,0.3819147,1974
209.1032329,7887768,2064428261,1.00E+11,5.738605162,14016702358,0.40566208,1975
213.9731433,8104319,3728750351,1.05E+11,-7.63438068,15015366444,0.414638121,1976
218.9256519,8326195,6085439482,1.24E+11,8.321619342,17557278809,0.484985962,1977
223.9804503,8554464,8316114116,1.40E+11,2.517518817,21095783919,0.477575976,1978
229.1675113,8788991,11815412878,1.56E+11,6.253164557,24545466669,0.487174492,1979
234.5056135,9030285,12009786832,1.90E+11,11.3652609,28052258060,0.499951925,1980
239.9985894,9249912,8108842157,1.97E+11,13.11510484,29162205822,0.525284022,1981
245.6295968,9419173,8241563483,2.04E+11,7.887270664,29528674035,0.545553419,1982
251.3713742,9670233,8215728863,2.22E+11,11.86886396,32687914741,0.578452649,1983
257.1864825,10024594,8535944836,2.16E+11,8.32157969,31856258659,0.584714088,1984
263.0457949,10390912,9493104340,2.37E+11,5.555555556,34306931629,0.627124721,1985
268.9391647,10771149,10480097373,2.53E+11,8.730811404,36298184671,0.657650963,1986
274.867143,11165300,11511739959,2.84E+11,8.798689021,40648465166,0.687149484,1987
280.8244334,11574447,9185841796,3.02E+11,9.384775808,42918055959,0.726153879,1988
286.8084986,11997400,8048453590,3.01E+11,3.26256011,44970734533,0.777433818,1989
292.8174035,12436423,5637446977,3.27E+11,8.971233545,47878285433,0.793217741,1990
298.8419405,12852422,7615987443,2.75E+11,13.87024609,38053329718,0.830433563,1991
304.8783825,13202723,9538784915,2.93E+11,11.78781925,40926248443,0.864498223,1992
310.9372872,13561569,14674627527,2.84E+11,6.362038664,39949109056,0.880821147,1993
317.0346365,13930684,24220928978,3.33E+11,10.21150033,49307260982,0.917597877,1994
323.1798109,14309845,22864638483,3.67E+11,10.22488756,57847193031,0.957509198,1995
329.3736465,14699869,24889366113,4.00E+11,8.977149075,62132304639,1.023418661,1996
335.6049395,15099407,28385372704,4.23E+11,7.16425362,61736821007,1.046223539,1997
341.8560223,15510378,30646565205,4.29E+11,13.2308409,59524429755,1.054613051,1998
348.1030899,15932535,36005294869,4.67E+11,4.669821024,62596050088,1.105715817,1999
354.3268584,16366787,41059062638,4.77E+11,4.009433962,67044558195,1.126420999,2000
360.5178916,16753128,49050841243,4.94E+11,3.684807256,66779634513,1.123105104,2001
366.6732896,17030562,71607863519,5.24E+11,4.392199745,72002095604,1.125301008,2002
372.7880078,17504993,1.04E+11,6.18E+11,3.805865922,85129242165,1.156575887,2003
378.8588422,18079156,1.32E+11,7.22E+11,3.76723848,1.01E+11,1.197178135,2004
384.8816567,18670494,1.38E+11,8.34E+11,4.246353323,1.18E+11,1.233151431,2005
390.8557156,19282029,1.78E+11,9.49E+11,6.145522388,1.40E+11,1.294535658,2006
396.7743841,19913595,2.77E+11,1.24E+12,6.369996746,1.82E+11,1.365786853,2007
402.6214635,20566759,2.57E+11,1.22E+12,8.351816444,1.78E+11,1.497886363,2008
408.3769224,21239462,2.85E+11,1.37E+12,10.87739112,1.94E+11,1.619048654,2009
414.0282,21935142,3.00E+11,1.71E+12,11.99229692,2.35E+11,1.584869945,2010
419.5648482,22653608,2.99E+11,1.84E+12,8.857845297,3.08E+11,1.662873483,2011
