Day,Price,Sales,Competitor Price
01-Jun,3.99043405,6.496564835,9.078221969
02-Jun,2.70846226,7.194171861,7.090608499
03-Jun,5.834963369,0.456696578,3.232239988
04-Jun,2.605605962,9.289106955,10.9323564
05-Jun,5.773979134,0.535498858,2.493129891
06-Jun,1.408756094,6.538893617,4.441264148
10-Aug,5.484748683,3.168522763,5.323518829
11-Aug,1.64343921,7.250642972,6.081870007
12-Aug,0.74024491,11.15727081,10.89413369
13-Aug,3.614031024,3.224309504,3.138855061
14-Aug,1.257027754,4.127259072,0.639936473
15-Aug,4.254298657,3.183749647,4.534494988
16-Aug,2.555535358,9.181110972,10.91731038
17-Aug,1.241194148,8.535824936,7.620554837
18-Aug,3.512566463,2.471053643,2.207385627
19-Aug,2.710405348,4.025984639,2.939473222
20-Aug,2.683106767,8.538713956,9.352865173
21-Aug,2.965186114,9.40110274,11.64786357
22-Aug,1.859856501,9.024853691,8.638730619
23-Aug,5.540262396,6.019298956,9.763127666
24-Aug,1.603881967,10.36360367,10.98776821
25-Aug,1.162778192,4.797441471,2.527372666
12-Dec,1.261413616,4.561194749,2.33088744
13-Dec,4.285962431,0.844716677,0.955782859
14-Dec,4.045752456,6.343855736,8.831671419
15-Dec,3.667943812,6.890852603,8.148127638
16-Dec,0.043449793,11.31951531,10.23258155
17-Dec,2.310363581,2.824702964,0.446155509
18-Dec,3.950837948,3.20090125,3.909146421
19-Dec,3.228075446,2.096515804,1.737097119
20-Dec,4.089080156,4.244644649,5.124658016
21-Dec,3.148670655,5.18492149,5.65324322
22-Dec,1.595754818,4.744044431,2.00192782
23-Dec,1.04509697,11.0062728,10.23706417
